           Mass binsSMF subhalos+orphans        SMF subhalos   SMF centrals only
           12.062500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.137500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.212500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.287500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.362500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.437500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.512500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.587500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.662500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.737500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.812500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.887500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
           12.962500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
